T,den,DG,rate,beta_TS
334.0,4.800000000000001,-22.297577308267087,100321705.74995258,0.39999999999999997
334.0,4.9,-22.497577308267086,100324595.99498664,0.39999999999999997
334.0,5.0,-22.697577308267086,100327486.32328801,0.39999999999999997
334.0,5.1000000000000005,-22.89757730826709,100330376.73485908,0.39999999999999997
334.0,5.2,-23.097577308267084,100333267.22970219,0.39999999999999997
334.0,5.300000000000001,-23.297577308267087,100336157.80781981,0.39999999999999997
334.0,5.4,-23.497577308267086,100339048.46921434,0.39999999999999997
334.0,5.5,-23.697577308267086,100341939.21388812,0.39999999999999997
334.0,5.6000000000000005,-23.89757730826709,100344830.04184358,0.39999999999999997
334.0,5.7,-24.097577308267084,100347720.95308313,0.39999999999999997
334.0,5.800000000000001,-24.297577308267087,100350611.94760917,0.39999999999999997
334.0,5.9,-24.497577308267086,100353503.02542408,0.39999999999999997
334.0,6.0,-24.697577308267086,100356394.18653026,0.39999999999999997
334.0,6.1000000000000005,-24.89757730826709,100359285.43093015,0.39999999999999997
334.0,6.2,-25.097577308267084,100362176.7586261,0.39999999999999997
334.0,6.300000000000001,-25.297577308267087,100365068.16962054,0.39999999999999997
334.0,6.4,-25.497577308267086,100367959.66391586,0.39999999999999997
334.0,6.5,-25.697577308267086,100370851.24151443,0.39999999999999997
334.0,6.6000000000000005,-25.89757730826709,100373742.90241869,0.39999999999999997
334.0,6.7,-26.097577308267084,100376634.64663105,0.39999999999999997
334.0,6.800000000000001,-26.297577308267087,100379526.47415386,0.39999999999999997
334.0,6.9,-26.497577308267086,100382418.38498957,0.39999999999999997
334.0,7.0,-26.697577308267086,100385310.37914056,0.39999999999999997
334.0,7.1000000000000005,-26.89757730826709,100388202.45660922,0.39999999999999997
334.0,7.2,-27.097577308267084,100391094.61739796,0.39999999999999997
334.0,7.300000000000001,-27.297577308267087,100393986.8615092,0.39999999999999997
334.0,7.4,-27.497577308267086,100396879.18894531,0.39999999999999997
334.0,7.5,-27.697577308267086,100399771.59970869,0.39999999999999997
334.0,7.6000000000000005,-27.89757730826709,100402664.09380177,0.39999999999999997
334.0,7.7,-28.097577308267084,100405556.6712269,0.39999999999999997
334.0,7.800000000000001,-28.297577308267087,100408449.33198653,0.39999999999999997
334.0,7.9,-28.497577308267086,100411342.07608306,0.39999999999999997
334.0,8.0,-28.697577308267086,100414234.90351886,0.39999999999999997
335.0,0.0,-13.252656891487533,100190511.62488666,0.39999999999999997
335.0,0.1,-13.452656891487532,100193389.47381023,0.39999999999999997
335.0,0.2,-13.652656891487533,100196267.40539645,0.39999999999999997
335.0,0.30000000000000004,-13.852656891487532,100199145.4196477,0.39999999999999997
335.0,0.4,-14.052656891487533,100202023.51656635,0.39999999999999997
335.0,0.5,-14.252656891487533,100204901.69615482,0.39999999999999997
335.0,0.6000000000000001,-14.452656891487532,100207779.9584154,0.39999999999999997
335.0,0.7000000000000001,-14.652656891487533,100210658.30335057,0.39999999999999997
335.0,0.8,-14.852656891487532,100213536.73096263,0.39999999999999997
335.0,0.9,-15.052656891487533,100216415.24125396,0.39999999999999997
335.0,1.0,-15.252656891487533,100219293.83422697,0.39999999999999997
335.0,1.1,-15.452656891487532,100222172.50988398,0.39999999999999997
335.0,1.2000000000000002,-15.652656891487533,100225051.26822743,0.39999999999999997
335.0,1.3,-15.852656891487532,100227930.10925965,0.39999999999999997
335.0,1.4000000000000001,-16.052656891487533,100230809.03298305,0.39999999999999997
335.0,1.5,-16.252656891487533,100233688.03939998,0.39999999999999997
335.0,1.6,-16.452656891487532,100236567.12851281,0.39999999999999997
335.0,1.7000000000000002,-16.65265689148753,100239446.3003239,0.39999999999999997
335.0,1.8,-16.852656891487534,100242325.55483569,0.39999999999999997
335.0,1.9000000000000001,-17.052656891487533,100245204.8920505,0.39999999999999997
335.0,2.0,-17.252656891487533,100248084.31197074,0.39999999999999997
335.0,2.1,-17.452656891487532,100250963.81459875,0.39999999999999997
335.0,2.2,-17.65265689148753,100253843.39993693,0.39999999999999997
335.0,2.3000000000000003,-17.852656891487534,100256723.06798764,0.39999999999999997
335.0,2.4000000000000004,-18.052656891487533,100259602.81875326,0.39999999999999997
335.0,2.5,-18.252656891487533,100262482.65223618,0.39999999999999997
335.0,2.6,-18.452656891487532,100265362.56843877,0.39999999999999997
335.0,2.7,-18.65265689148753,100268242.5673634,0.39999999999999997
335.0,2.8000000000000003,-18.852656891487534,100271122.64901243,0.39999999999999997
335.0,2.9000000000000004,-19.052656891487533,100274002.81338827,0.39999999999999997
335.0,3.0,-19.252656891487533,100276883.06049329,0.39999999999999997
335.0,3.1,-19.452656891487532,100279763.39032985,0.39999999999999997
335.0,3.2,-19.65265689148753,100282643.80290033,0.39999999999999997
335.0,3.3000000000000003,-19.852656891487534,100285524.29820709,0.39999999999999997
335.0,3.4000000000000004,-20.052656891487533,100288404.87625256,0.39999999999999997
335.0,3.5,-20.252656891487533,100291285.53703907,0.39999999999999997
335.0,3.6,-20.452656891487532,100294166.28056902,0.39999999999999997
335.0,3.7,-20.65265689148753,100297047.10684475,0.39999999999999997
335.0,3.8000000000000003,-20.852656891487534,100299928.0158687,0.39999999999999997
335.0,3.9000000000000004,-21.052656891487533,100302809.00764316,0.39999999999999997
335.0,4.0,-21.252656891487533,100305690.0821706,0.39999999999999997
335.0,4.1000000000000005,-21.452656891487536,100308571.23945333,0.39999999999999997
335.0,4.2,-21.65265689148753,100311452.47949378,0.39999999999999997
335.0,4.3,-21.852656891487534,100314333.80229427,0.39999999999999997
335.0,4.4,-22.052656891487533,100317215.2078572,0.39999999999999997
335.0,4.5,-22.252656891487533,100320096.69618498,0.39999999999999997
335.0,4.6000000000000005,-22.452656891487536,100322978.26727994,0.39999999999999997
335.0,4.7,-22.65265689148753,100325859.92114449,0.39999999999999997
335.0,4.800000000000001,-22.852656891487534,100328741.65778099,0.39999999999999997
335.0,4.9,-23.052656891487533,100331623.4771918,0.39999999999999997
335.0,5.0,-23.252656891487533,100334505.37937936,0.39999999999999997
335.0,5.1000000000000005,-23.452656891487536,100337387.36434597,0.39999999999999997
335.0,5.2,-23.65265689148753,100340269.43209407,0.39999999999999997
335.0,5.300000000000001,-23.852656891487534,100343151.58262599,0.39999999999999997
335.0,5.4,-24.052656891487533,100346033.81594416,0.39999999999999997
335.0,5.5,-24.252656891487533,100348916.1320509,0.39999999999999997
335.0,5.6000000000000005,-24.452656891487536,100351798.53094864,0.39999999999999997
335.0,5.7,-24.65265689148753,100354681.01263972,0.39999999999999997
335.0,5.800000000000001,-24.852656891487534,100357563.57712653,0.39999999999999997
335.0,5.9,-25.052656891487533,100360446.22441147,0.39999999999999997
335.0,6.0,-25.252656891487533,100363328.95449689,0.39999999999999997
335.0,6.1000000000000005,-25.452656891487536,100366211.76738515,0.39999999999999997
335.0,6.2,-25.65265689148753,100369094.66307871,0.39999999999999997
335.0,6.300000000000001,-25.852656891487534,100371977.64157985,0.39999999999999997
335.0,6.4,-26.052656891487533,100374860.702891,0.39999999999999997
335.0,6.5,-26.252656891487533,100377743.84701456,0.39999999999999997
335.0,6.6000000000000005,-26.452656891487536,100380627.07395285,0.39999999999999997
335.0,6.7,-26.65265689148753,100383510.3837083,0.39999999999999997
335.0,6.800000000000001,-26.852656891487534,100386393.77628325,0.39999999999999997
335.0,6.9,-27.052656891487533,100389277.25168012,0.39999999999999997
335.0,7.0,-27.252656891487533,100392160.80990124,0.39999999999999997
335.0,7.1000000000000005,-27.452656891487536,100395044.45094903,0.39999999999999997
335.0,7.2,-27.65265689148753,100397928.17482585,0.39999999999999997
335.0,7.300000000000001,-27.852656891487534,100400811.98153408,0.39999999999999997
335.0,7.4,-28.052656891487533,100403695.87107609,0.39999999999999997
335.0,7.5,-28.252656891487533,100406579.84345429,0.39999999999999997
335.0,7.6000000000000005,-28.452656891487536,100409463.89867105,0.39999999999999997
335.0,7.7,-28.65265689148753,100412348.03672871,0.39999999999999997
335.0,7.800000000000001,-28.852656891487534,100415232.25762972,0.39999999999999997
335.0,7.9,-29.052656891487533,100418116.56137638,0.39999999999999997
335.0,8.0,-29.252656891487533,100421000.94797114,0.39999999999999997
336.0,0.0,-13.813706632828072,100197993.30492176,0.39999999999999997
336.0,0.1,-14.013706632828072,100200862.80295855,0.39999999999999997
336.0,0.2,-14.213706632828073,100203732.38317284,0.39999999999999997
336.0,0.30000000000000004,-14.413706632828072,100206602.04556695,0.39999999999999997
336.0,0.4,-14.613706632828073,100209471.79014325,0.39999999999999997
336.0,0.5,-14.813706632828072,100212341.6169041,0.39999999999999997
336.0,0.6000000000000001,-15.013706632828072,100215211.52585185,0.39999999999999997
336.0,0.7000000000000001,-15.213706632828073,100218081.51698883,0.39999999999999997
336.0,0.8,-15.413706632828072,100220951.59031743,0.39999999999999997
336.0,0.9,-15.613706632828073,100223821.74584,0.39999999999999997
336.0,1.0,-15.813706632828072,100226691.98355886,0.39999999999999997
336.0,1.1,-16.01370663282807,100229562.30347642,0.39999999999999997
336.0,1.2000000000000002,-16.21370663282807,100232432.70559499,0.39999999999999997
336.0,1.3,-16.413706632828074,100235303.18991691,0.39999999999999997
336.0,1.4000000000000001,-16.613706632828073,100238173.75644459,0.39999999999999997
336.0,1.5,-16.813706632828072,100241044.40518034,0.39999999999999997
336.0,1.6,-17.01370663282807,100243915.13612653,0.39999999999999997
336.0,1.7000000000000002,-17.21370663282807,100246785.9492855,0.39999999999999997
336.0,1.8,-17.413706632828074,100249656.84465963,0.39999999999999997
336.0,1.9000000000000001,-17.613706632828073,100252527.82225128,0.39999999999999997
336.0,2.0,-17.813706632828072,100255398.88206276,0.39999999999999997
336.0,2.1,-18.01370663282807,100258270.02409644,0.39999999999999997
336.0,2.2,-18.21370663282807,100261141.2483547,0.39999999999999997
336.0,2.3000000000000003,-18.413706632828074,100264012.5548399,0.39999999999999997
336.0,2.4000000000000004,-18.613706632828073,100266883.94355434,0.39999999999999997
336.0,2.5,-18.813706632828072,100269755.41450043,0.39999999999999997
336.0,2.6,-19.01370663282807,100272626.96768051,0.39999999999999997
336.0,2.7,-19.21370663282807,100275498.60309692,0.39999999999999997
